"id","permalink","title","contents","created_at","updated_at"
3,map,Map of Connected Words,"",2013-05-26 03:54:06,2013-05-26 13:36:08
4,advice,Some Advice For You,"",2013-06-09 02:32:51,2013-06-09 02:57:02
2,statistics,Word Frequency,<p>Every Swanson's dinner thinks it's the only one.</p>,2010-11-11 01:56:59,2012-09-13 03:39:27
6,poetrymonth,National Poetry Month,<p>Some poetry months are more fruitful than others.</p>,2015-04-24 00:26:29,2015-04-24 00:27:55
5,ifaq,Answer the Ask the Author,"<ol class=""quiz"">
<li>Why a dictionary?<ol>
<li>Because I like words.</li>
<li>Because they are full of words.</li>
<li>Because I need words.</li>
</ol></li>
<li>Why family?<ol>
<li>That's where I first had words.</li>
<li>I know them well.</li>
<li>I don't know all of them.</li>
</ol></li>
<li>To what extent do the maudlin tendencies of 80's pop inform your tendency towards overt, cheese-laden geezerism?<ol>
<li>Its the one thing</li>
<li>More than this</li>
<li>Same as it ever was</li>
</ol></li>
<li>Explain the undercurrent of constant, unanchored social discomfort.<ol>
<li>Please.</li>
<li>No.</li>
<li>Stop.</li>
</ol></li>
<li>You reference rose gardens more than once. Are they:<ol>
<li>Political?</li>
<li>Personal?</li>
<li>Allegorical?</li>
<li>Lynn Anderson?</li>
</ol></li>
<li>Are you Spider-Man? &nbsp; &nbsp;<ol>
<li>Yes.</li>
<li>No.</li>
<li>I am a grown-up. I have a child.</li>
<li>I'm Batman.</li>
</ol></li>
<li>What will you say if I tell you I always read your poems with a fake British accent?<ol>
<li>An aspirated ""Thank you.""</li>
<li>A polite nothing.</li>
<li>I will set cold beans and toast against seven varieties of fried pork.</li>
</ol></li>
<li>When you reference one or the other set of grandparents, I get the impression you are keeping score. What is at stake?<ol>
<li>Fun vs. stable.</li>
<li>Where neither really is.</li>
<li>But both are.</li>
</ol></li>
<li>Your audience.<ol>
<li>Ha.</li>
<li>Ha.</li>
<li>What?</li>
</ol></li>
<li>Do you think you are clever?<ol>
<li>Maybe.</li>
<li>Sometimes.</li>
<li>When I'm at my worst.</li>
<li>Not compared to the person who writes the Internet.</li>
</ol></li>
<li>Are you worried that sometimes you're too obscure or personal?<ol>
<li>See the question about audience.</li>
<li>As of this writing, I have never put my penis onto social media.</li>
<li>Are you really still reading this?</li>
</ol></li>
<li>When will you stop?<ol>
<li>Abruptly.</li>
<li>When I get distracted.</li>
<li>When I get disheartened.</li>
</ol></li>
</ol>",2013-09-27 16:07:25,2013-09-27 20:22:06
7,manuscript,Manuscript,"",2015-10-13 01:27:10,2015-10-13 01:27:10
1,lexicographer,Lexicographer,"<p>The lexicographer for An Abbreviated Family Dictionary, <a href=""mailto:danny.collier@gmail.com"">Danny Collier</a>, adds a new word when he can.</p>
<p>For more information, you might want to read <a href=""https://web.archive.org/web/20141011004427/http://prickofthespindle.com/interviews/4.2/Collier/collier_interview.htm"">A Conversation with Danny Collier, creator of <em>An Abbreviated Family Dictionary</em></a> in <em>Prick of the Spindle</em> Vol 4.2.</p>
<p>He has done other things, including these:</p>
<ul>
<li><em>Versification, January 2021,&nbsp;</em><a href=""https://www.versificationzine.com/january-2020"" target=""_blank"" rel=""noopener"">On Vaginas</a></li>
<li><em>Beltway Poetry Quarterly</em>, <a title=""The Correction"" href=""http://www.beltwaypoetry.com/the-correction/"" target=""_blank"" rel=""noopener"">The Correction</a></li>
<li><em>Barrelhouse,&nbsp;</em>Issue Thirteen. Ten Ways to Hypnotize a Chicken</li>
<li>Incident Codex (<a href=""https://inpatientpress.bigcartel.com"" target=""_blank"" rel=""noopener"">Inpatient Press</a>). <a title=""Incident Codex"" href=""poems-illustrations"">Illustrations Omitted From Sections One Through Five</a></li>
<li><em>Inpatient Press Webworks.</em>&nbsp;<a href=""../../poems-culled"">Culled From the Clutch</a></li>
<li><em>The Northville Review.&nbsp;</em><a href=""http://northvillereview.com/?p=1796"">Introduction by a Noted Scholar</a>,&nbsp;Inside Joke Explained:&nbsp;<a href=""http://northvillereview.com/?p=648"">It's Not Russia, It's Us</a></li>
<li><em>The Dead Mule School of Southern Literature.</em>&nbsp;<a href=""http://www.deadmule.com/poetry/danny-collier-poems/"" target=""_blank"" rel=""noopener"">Flexing.</a> <a href=""http://www.deadmule.com/poetry/danny-collier-poems/"" target=""_blank"" rel=""noopener"">Sticking.</a> <a href=""http://www.deadmule.com/poetry/danny-collier-poems/"" target=""_blank"" rel=""noopener"">Father Son Breakfast.</a> <a href=""http://www.deadmule.com/poetry/danny-collier-poems/"" target=""_blank"" rel=""noopener"">From Livorno.</a></li>
<li><em>Everyday Genius</em>. <a href=""http://www.everyday-genius.com/2010/03/danny-collier.html"" target=""_blank"" rel=""noopener"">Ouch</a> and <a href=""http://www.everyday-genius.com/2010/03/danny-collier.html"" target=""_blank"" rel=""noopener"">His Fortune Gone...</a></li>
<li><em>Kill Author</em>, Issue Four. From: Romances Involving Chickens and/or Chicken Parts. <a href=""../../poems-bed"">Bed</a>,&nbsp;<a href=""../../poems-factory"">Factory</a>,&nbsp;<a href=""../../poems-description"">Description of the Cock</a></li>
<li><a href=""http://twitter.com/unpubd_poetry"" target=""_blank"" rel=""noopener"">Twitter</a>: An Unpublished Poetry Manuscript</li>
<li><em>New American Writing</em>. Notes for a Family History</li>
</ul>
<p>He also surreptitiously helps out a friend's neglected poetry manuscript by typing up <a title=""An Unpublished Poetry Manuscript"" href=""http://twitter.com/#!/unpubd_poetry"" target=""_blank"" rel=""noopener"">its tweets</a>. He gives <a href=""../../advice"">advice</a>.</p>
<hr />
<p>&nbsp;</p>
<p>The navigation and title font is <a href=""http://www.theleagueofmoveabletype.com/fonts/8-goudy-bookletter-1911"">Goudy Bookletter 1911</a> by Barry Schwartz?.</p>
<p>The Idioglossia navigation font is <a href=""http://www.abecedarienne.com/fonts/fulton-markers/"">Fulton Markers</a> by l'Ab&eacute;c&eacute;darienne.</p>",2010-04-23 02:17:17,2021-01-22 21:25:33
8,bibliography,Bibliography,"<p>These are a few of the books that influenced the Dictionary.</p>
<p>&nbsp;</p>
<p>Davis, Peter.&nbsp;<a href=""https://bloofbooks.com/product/poetry-poetry-poetry/""><em>Poetry! Poetry! Poetry!</em></a>&nbsp;Bloof Books, 2010.</p>
<p>Dickinson, Emily, and Paul Legault.&nbsp;<a href=""https://www.amazon.com/Emily-Dickinson-Reader-English-English/dp/1936365987/ref=sr_1_3?keywords=the+emily+dickinson+reader&amp;qid=1583169277&amp;sr=8-3""><em>The Emily Dickinson Reader: an English-to-English Translation of Emily Dickinsons Complete Poems</em>.</a> McSweeneys Books, 2012.</p>
<p>Martin, Megan.&nbsp;<a href=""https://www.caketrain.org/nevers/""><em>Nevers</em>.</a> Caketrain, 2014.</p>
<p>Ondaatje, Michael, and Lola Lemire Tostevin.&nbsp;<a href=""https://www.brickbooks.ca/books/elimination-dance/""><em>Elimination Dance = La Danse éliminatoire</em>.</a> Brick Books, 2006.</p>
<p>Simic, Charles.&nbsp;<a href=""https://www.amazon.com/World-Doesnt-End-Charles-Simic/dp/0156983508/ref=sr_1_1?keywords=the+world+doesn%27t+end&amp;qid=1583169587&amp;sr=8-1""><em>The World Doesnt End: Prose Poems</em>.</a> Harcourt Brace &amp; Company, 1989.</p>
<p>Stein, Gertrude.&nbsp;<a href=""https://www.amazon.com/Tender-Buttons-Objects-Food-Rooms-Gertrude-Stein-ebook/dp/B00849XBYQ/ref=sr_1_3?keywords=tender+buttons&amp;qid=1583169652&amp;sr=8-3""><em>Tender Buttons: Objects, Food, Rooms</em>.</a> Public Domain.</p>
<p>Waldrop, Rosmarie.&nbsp;<a href=""http://ubu.com/ubu/waldrop_shorter.html""><em>Shorter American Memory</em>.</a> Paradigm Press, 1988. (Full book PDF on Ubuweb.)</p>
<p>Waldrop, Rosmarie.&nbsp;<a href=""http://writing.upenn.edu/epc/authors/waldropr/Differences.pdf""><em>Differences for Four Hands</em>.</a> Paradigm Press, 1999. (Full book PDF on Electronic Poetry Project site.)</p>
<p>Wenderoth, Joe.&nbsp;<a href=""https://www.amazon.com/Letters-Wendys-Joe-Wenderoth/dp/0970367201""><em>Letters to Wendys</em>.</a> Verse Press, 2000.</p>",2020-03-02 12:03:36,2020-03-02 17:25:36
9,poems-bed,Bed,"<p>Warm feathers over air and sponge<br />flesh, nature&rsquo;s comfort: a live bed<br />eats the pea that would purple the<br />princess, and from five hundred fowl<br />one claw pokes up to scratch the fat<br />prince from twitchy sleep into dreams<br />of smooth seas as the flock walks out,<br />carries them from their room, from her<br />father&rsquo;s castle and kingdom through<br />foreign lands until desert, beach<br />or our moon&rsquo;s pale shell curves away<br />beneath them as they wake, startled<br />and naked before one thousand<br />exhausted, inquisitive eyes.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p style=""font-style: italic;""><em>Published in the now-defunct Kill Author</em></p>",2020-11-05 15:51:04,2020-11-05 16:01:49
10,poems-factory,Factory,"<p>The hearts have again begun to beat, and the livers and gizzards pulse with mysterious labors. The hearts, laid in lines on conveyor belts, beat maybe for love, maybe for loneliness, beat a drumbeat summons to scattered pieces, beat to surround themselves again with warm chicken.</p>
<p>She&rsquo;s young. She&rsquo;s afraid. She&rsquo;s new to the line. She pictures zombie chickens dripping salmonella who cluck onto her chest and peck tiny holes in her crisp outer coating, then peel it back to expose the veiny granny cowering beneath.</p>
<p>The hearts stop beating but she&rsquo;s hopeless. She&rsquo;s stymied. This happens sometimes. There are procedures. They take her off the line, take her into a pale green office which smells of bleach. Since it&rsquo;s her first time, she gets the film. They start the machine, dim the lights and leave her alone with the projector&rsquo;s click and the bright image of a beautiful woman wearing the standard silver hairnet and liver-red lipstick. The image says,</p>
<p style=""margin-left: 2em; font-style: italic;""><em>It&rsquo;s ok. It happens sometimes. There are irregularities. Things get different. Sometimes we gut a thousand chickens but end up with 1,001 hearts. Sometimes a worker climbs on the line and rides through the factory, silent in fantasy, covered in entrails. Once a woman took a carcass as her lover and hid in a closet, madly fisting its body cavity and whispering secrets into its neck. It&rsquo;s ok. These are just variations, the bird with the extra head, the occasional unbreakable egg.</em></p>
<p>The film continues to roll out comfort. Her thighs quiver, legs tense, breasts tighten. She begins to cry.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p style=""margin: 0px; padding: 0px 0px 1em; border: 0px; font-style: italic; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-stretch: inherit; font-size: 16px; line-height: inherit; font-family: Baskerville, '&ldquo;Times New Roman&rdquo;', Times, serif; vertical-align: baseline; color: #2c2c2c; background-color: #ffffff;""><span style=""margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">Published in the now-defunct Kill Author</span></p>",2020-11-05 15:56:39,2020-11-05 16:02:04
